objectid,title,creator,date,description,subject,platform,latitude,longitude,source,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
obj_001,The Portopia Serial Murder Case,Yuji Horii,1983,[some kind of description],adventure; mystery,[some kind of platform],,,,Image;StillImage,image/jpeg,jpn,,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/obj_001.jpeg,,,[alt text],[pobject transcript]
obj_002,Tokimeki Memorial,Konami,1994,Tokimeki Memorial is a dating sim game in which the player controls a male freshman from Kirameki High School. ,dating sim; romance,psp,,,,Image;StillImage,image/jpeg,jpn,,,image,/objects/obj_002.jpeg,,,[],[]
obj_003,The Phoenix Wright: Ace Attorney,CAPCOM,2001,"The story follows Phoenix ""Nick"" Wright, a rookie defense attorney who attempts to have his clients declared ""not guilty"".",mystery; detective,pc; psp; switch,,,,Image;StillImage,image/jpeg,jpn,,,image,/objects/obj_003.jpeg,,,[],[]
obj_004,Doki Doki Literature Club,Team Salvato,2017,"Although it initially appears to be a light-hearted dating simulator, it is actually a metafictional psychological horror game that extensively breaks the fourth wall.",meta; psychological horror,pc; switch,,,,Image;StillImage,image/jpeg,en,,,image,/objects/obj_004.jpeg,,,[],[]
obj_005,Analogue: A Hate Story,Love Conquers All Games,2012,A science-fiction epistolary tale about an abandoned space colony ship that resurfaces after drifting in space for centuries,sci-fi; mystery,pc,,,,Image;StillImage,image/jpeg,en,,,image,/objects/obj_005.jpeg,,,[],[]
obj_006,Long Live the Queen,Georgina Bensley,2012,The story of the game follows a young princess who is training to become queen after the death of her mother. The objective of the game is to keep the princess alive for 40 weeks until she turns 15 and is crowned.,raising simulator,pc,,,,Image;StillImage,image/png,en,,,image,/objects/obj_006.png,,,,
obj_007,428: Shibuya Scramble,Chunsoft,2008,"The stories of five different individuals who, over the course of 10 hours, help solve the mystery behind a kidnapping that took place in the city of Shinbuya, both intentionally and accidentally. ",live action; mystery,pc; switch,,,,Image;StillImage,image/png,jpn,,,image,/objects/obj_007.png,,,,
obj_008,Cinderella Phenomenon,Dicesuki,2017,The cold-hearted crown princess gets cursed by a Cinderella curse. The story follows how she break the curse and learn to compassionate,fairytale; romance,pc,,,,Image;StillImage,image/png,en,,,image,/objects/obj_008.png,,,,
obj_009,Dysfunctional Systems,Dischan Media,2013,"The story follows Winter Harrison, a ""mediator""-in-training, as she attempts to resolve chaotic situations in different worlds. ",adventure; utopian,pc,,,,Image;StillImage,image/jpeg,en,,,image,/objects/obj_009.jpeg,,,,
obj_010,Hatoful Boyfriend,Mist Psi Press,2011,"The game is set in a version of Earth populated by sapient birds, and its main story follows the player character and protagonist—the only human attending St. PigeoNation's Institute, an elite school for birds—as she finds love among her avian acquaintances.",romance; comedic,pc,,,,Image;StillImage,image/jpeg,jpn,,,image,/objects/obj_010.jpeg,,,,
obj_011,Nameless ~ The One Thing You Must Recall~,Sujin Ri,2013,"Eri is an ordinary looking freshman who attends Crobi Academy. With her parents working as researchers overseas, she is left all alone at her grandparents' house after her grandfather's death. Left by herself, Eri continues to obsess over her ball jointed dolls; a hobby she's unable to tell anyone about, even her friends.",romance,pc; switch,,,,Image;StillImage,image/jpeg,kr,,,image,/objects/obj_011.jpeg,,,,
obj_012,Disco Elysium,ZA/UM,2019,Disco Elysium takes place in the seaside district of a fictional city still recovering from a revolution which occurred decades prior to the game's start. Players take the role of an amnesiac detective who has been tasked with solving a murder mystery. ,mystery; adventure,pc,,,,Image;StillImage,image/jpeg,en,,,image,/objects/obj_012.jpeg,,,,
obj_013,The Walking Dead: The Telltale Definitive Series,Skybound Games,2019,,horro; adventure,pc; psp; switch,,,,Image;StillImage,image/jpeg,en,,,image,/objects/obj_013.jpeg,,,,
obj_014,Needy Streamer Overload,WSS Playground,2022,"The game follows Ame-chan and the player, P-Chan, who is her partner and producer. The goal is to get one million subscribers before 30 days are up. Every day, through a cutesy windows 95-esque user interface, P-Chan can decide what activities Ame-chan does every day in order to grasp new ideas for streams, which will also raise or lower three stats in very different ways: stress, affection, and mental darkness.",psychological horror,pc,,,,Image;StillImage,image/jpeg,jpn,,,image,/objects/obj_014.jpeg,,,,
obj_015,VA-11 Hall-A: Cyberpunk Bartender Action,Sukeban Games,2016,"In the game, the player assumes the role of a bartender at ""VA-11 Hall-A"" (pronounced Valhalla), a small dive bar[6] in a dystopian downtown said to attract the ""most fascinating"" of clientele.[7] Set in the year 207X,[8] according to the game's official website, VA-11 Hall-A is described as a ""a booze em' up about waifus, technology, and post-dystopia life"", in a world where ""corporations reign supreme, all human life is infected with nanomachines designed to oppress them, and the terrifying White Knights ensure that everyone obeys the laws.""[",cyberpunk,pc,,,,Image;StillImage,image/jpeg,en,,,image,/objects/obj_015.jpeg,,,,
obj_016,Venba,Visai Games,2023,"Play as Venba, a South Indian immigrant mother connecting with her son through the language of food.",culture; mystery,pc,,,,Image;StillImage,image/jpeg,en,,,image,/objects/obj_016.jpeg,,,,
